case_id,variant_id,variant_type,case_type,corpus_document_count,corpus_sha256,embedding_model,corpus_builder,generated_from_commit,reference_threshold,reference_threshold_source,reference_threshold_mode,experiment_scope_sha256,original_query,variant_query,top1_score,top1_doc_id,top1_slot,top1_entity,top5_doc_ids,top5_slots,top5_entities,expected_hit_at_5,above_reference_threshold,top1_changed_from_original,score_delta_from_original
positive_demo2_region_type_boundary,positive_demo2_region_type_boundary::01_original,original,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What is the boundary of region_type in Demo 2?,What is the boundary of region_type in Demo 2?,0.638906,retail_ops/data/demo2_source_notes.md:chunk:23,,,retail_ops/data/demo2_source_notes.md:chunk:23 | retail_ops/data/DATA_DICTIONARY.md:chunk:32 | retail_ops/data/DATA_DICTIONARY.md:chunk:33 | retail_ops/data/DATA_DICTIONARY.md:chunk:92 | retail_ops/data/DATA_DICTIONARY.md:chunk:482, |  |  |  | , |  |  |  | ,True,True,False,0.0
positive_demo2_region_type_boundary,positive_demo2_region_type_boundary::02_shortened,shortened,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What is the boundary of region_type in Demo 2?,What is boundary of region_type in Demo 2?,0.629554,retail_ops/data/demo2_source_notes.md:chunk:23,,,retail_ops/data/demo2_source_notes.md:chunk:23 | retail_ops/data/DATA_DICTIONARY.md:chunk:32 | retail_ops/data/DATA_DICTIONARY.md:chunk:33 | retail_ops/data/DATA_DICTIONARY.md:chunk:92 | retail_ops/data/demo2_source_notes.md:chunk:13, |  |  |  | , |  |  |  | ,True,True,False,-0.009352
positive_demo2_region_type_boundary,positive_demo2_region_type_boundary::03_paraphrased,paraphrased,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What is the boundary of region_type in Demo 2?,What evidence is available for: What is the boundary of region_type in Demo 2?,0.660589,retail_ops/data/demo2_source_notes.md:chunk:23,,,retail_ops/data/demo2_source_notes.md:chunk:23 | retail_ops/data/DATA_DICTIONARY.md:chunk:32 | retail_ops/data/DATA_DICTIONARY.md:chunk:33 | retail_ops/data/demo2_source_notes.md:chunk:13 | retail_ops/data/DATA_DICTIONARY.md:chunk:92, |  |  |  | , |  |  |  | ,True,True,False,0.021683
positive_demo2_region_type_boundary,positive_demo2_region_type_boundary::04_typo_punctuation_noise,typo_punctuation_noise,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What is the boundary of region_type in Demo 2?,What is the bounadry of region_type in Demo 2? ??,0.626064,retail_ops/data/demo2_source_notes.md:chunk:23,,,retail_ops/data/demo2_source_notes.md:chunk:23 | retail_ops/data/DATA_DICTIONARY.md:chunk:32 | retail_ops/data/DATA_DICTIONARY.md:chunk:33 | retail_ops/data/DATA_DICTIONARY.md:chunk:31 | retail_ops/data/DATA_DICTIONARY.md:chunk:482, |  |  |  | , |  |  |  | ,True,True,False,-0.012842
positive_demo2_region_type_boundary,positive_demo2_region_type_boundary::05_keyword_order_changed,keyword_order_changed,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What is the boundary of region_type in Demo 2?,of region_type in Demo 2? What is the boundary,0.638423,retail_ops/data/demo2_source_notes.md:chunk:23,,,retail_ops/data/demo2_source_notes.md:chunk:23 | retail_ops/data/DATA_DICTIONARY.md:chunk:32 | retail_ops/data/DATA_DICTIONARY.md:chunk:33 | retail_ops/data/DATA_DICTIONARY.md:chunk:92 | retail_ops/data/demo2_source_notes.md:chunk:13, |  |  |  | , |  |  |  | ,True,True,False,-0.000483
positive_demo2_activity_cost_ratio_definition,positive_demo2_activity_cost_ratio_definition::01_original,original,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,How should activity_cost_ratio_pct be interpreted?,How should activity_cost_ratio_pct be interpreted?,0.757,retail_ops/data/DATA_DICTIONARY.md:chunk:293,,,retail_ops/data/DATA_DICTIONARY.md:chunk:293 | retail_ops/data/demo2_source_notes.md:chunk:17 | retail_ops/data/DATA_DICTIONARY.md:L1124 | retail_ops/data/DATA_DICTIONARY.md:chunk:298 | retail_ops/data/DATA_DICTIONARY.md:chunk:240, |  | activity_cost_ratio_pct |  | , |  |  |  | ,True,True,False,0.0
positive_demo2_activity_cost_ratio_definition,positive_demo2_activity_cost_ratio_definition::02_paraphrased,paraphrased,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,How should activity_cost_ratio_pct be interpreted?,How can activity_cost_ratio_pct be interpreted?,0.762746,retail_ops/data/DATA_DICTIONARY.md:chunk:293,,,retail_ops/data/DATA_DICTIONARY.md:chunk:293 | retail_ops/data/demo2_source_notes.md:chunk:17 | retail_ops/data/DATA_DICTIONARY.md:L1124 | retail_ops/data/DATA_DICTIONARY.md:chunk:298 | retail_ops/data/DATA_DICTIONARY.md:chunk:240, |  | activity_cost_ratio_pct |  | , |  |  |  | ,True,True,False,0.005746
positive_demo2_activity_cost_ratio_definition,positive_demo2_activity_cost_ratio_definition::03_typo_punctuation_noise,typo_punctuation_noise,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,How should activity_cost_ratio_pct be interpreted?,How should acitvity_cost_ratio_pct be interpreted? ??,0.70654,retail_ops/data/DATA_DICTIONARY.md:chunk:293,,,retail_ops/data/DATA_DICTIONARY.md:chunk:293 | retail_ops/data/demo2_source_notes.md:chunk:17 | retail_ops/data/DATA_DICTIONARY.md:chunk:298 | retail_ops/data/DATA_DICTIONARY.md:L1124 | retail_ops/data/DATA_DICTIONARY.md:chunk:240, |  |  | activity_cost_ratio_pct | , |  |  |  | ,True,True,False,-0.05046
positive_demo2_activity_cost_ratio_definition,positive_demo2_activity_cost_ratio_definition::04_keyword_order_changed,keyword_order_changed,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,How should activity_cost_ratio_pct be interpreted?,How should activity_cost_ratio_pct be interpreted? evidence,0.737273,retail_ops/data/DATA_DICTIONARY.md:chunk:293,,,retail_ops/data/DATA_DICTIONARY.md:chunk:293 | retail_ops/data/demo2_source_notes.md:chunk:17 | retail_ops/data/DATA_DICTIONARY.md:L1124 | retail_ops/data/DATA_DICTIONARY.md:chunk:298 | retail_ops/data/DATA_DICTIONARY.md:chunk:352, |  | activity_cost_ratio_pct |  | , |  |  |  | ,True,True,False,-0.019727
positive_store_b_visibility_entry,positive_store_b_visibility_entry::01_original,original,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store B's March 2026 visibility and search-entry profile show?,What does Store B's March 2026 visibility and search-entry profile show?,0.612497,generated_demo2_retail_memory_facts.json:0,visibility_entry_profile,store_B,generated_demo2_retail_memory_facts.json:0 | generated_retail_memory_facts.json:0 | generated_demo2_retail_memory_facts.json:5 | generated_demo2_retail_memory_facts.json:20 | generated_demo2_retail_memory_facts.json:4,visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | single_metric_attribution_guard,store_B | store_A | store_C | store_F | store_B,True,True,False,0.0
positive_store_b_visibility_entry,positive_store_b_visibility_entry::02_shortened,shortened,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store B's March 2026 visibility and search-entry profile show?,What does Store B's March 2026 visibility and search-entry profile,0.591779,generated_demo2_retail_memory_facts.json:0,visibility_entry_profile,store_B,generated_demo2_retail_memory_facts.json:0 | generated_retail_memory_facts.json:0 | generated_demo2_retail_memory_facts.json:5 | generated_demo2_retail_memory_facts.json:20 | generated_demo2_retail_memory_facts.json:4,visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | single_metric_attribution_guard,store_B | store_A | store_C | store_F | store_B,True,True,False,-0.020718
